# SSC script opcode table — 209 commands
# op	slot	bytes	name
# op   = u16 little-endian at instruction+0 (operands start at +2)
# slot = index into the decoder vtable at VA 0xc36c10
# bytes= instruction length (constant for all 209)
0x5380	107	32	TALK_ON_EVENT
0x6000	108	6	SD_BGM_PLAY
0x6001	114	6	SD_BGM_MUTE_WAIT
0x6002	116	6	SD_BGM_PAN
0x6003	118	4	SD_BGM_REVERB
0x6010	111	4	SD_BGM_VOLUME
0x6011	115	2	SD_BGM_MUTE_WAIT_ALL
0x6012	117	4	SD_BGM_PAN_ALL
0x6020	110	6	SD_BGM_PAUSE
0x6030	113	4	SD_BGM_PAUSE_ALL
0x6040	109	6	SD_BGM_OFF
0x6043	119	2	SD_BGM_REVERB_OFF
0x6050	112	4	SD_BGM_OFF_ALL
0x6080	120	6	SD_ENV_PLAY
0x6081	126	6	SD_ENV_MUTE_WAIT
0x6082	128	6	SD_ENV_PAN
0x6083	130	4	SD_ENV_REVERB
0x6090	123	4	SD_ENV_VOLUME
0x6091	127	2	SD_ENV_MUTE_WAIT_ALL
0x6092	129	4	SD_ENV_PAN_ALL
0x60a0	122	6	SD_ENV_PAUSE
0x60b0	125	4	SD_ENV_PAUSE_ALL
0x60c0	121	6	SD_ENV_OFF
0x60c3	131	2	SD_ENV_REVERB_OFF
0x60d0	124	4	SD_ENV_OFF_ALL
0x6100	132	6	SD_SEQ_PLAY
0x6101	138	6	SD_SEQ_MUTE_WAIT
0x6110	135	4	SD_SEQ_VOLUME
0x6111	139	2	SD_SEQ_MUTE_WAIT_ALL
0x6120	134	6	SD_SEQ_PAUSE
0x6130	137	4	SD_SEQ_PAUSE_ALL
0x6140	133	6	SD_SEQ_OFF
0x6150	136	4	SD_SEQ_OFF_ALL
0x6180	140	6	SD_SE_PLAY
0x6181	146	6	SD_SE_MUTE_WAIT
0x6182	148	6	SD_SE_PAN
0x6183	150	4	SD_SE_REVERB
0x6190	143	4	SD_SE_VOLUME
0x6191	147	2	SD_SE_MUTE_WAIT_ALL
0x6192	149	4	SD_SE_PAN_ALL
0x61a0	142	6	SD_SE_PAUSE
0x61b0	145	4	SD_SE_PAUSE_ALL
0x61c0	141	6	SD_SE_OFF
0x61c3	151	2	SD_SE_REVERB_OFF
0x61d0	144	4	SD_SE_OFF_ALL
0x6800	152	4	SD_ALL_VOLUME
0x7000	153	20	INPUT_SELECT
0x7001	154	16	INPUT_STRING
0x7002	155	16	INPUT_STRING_PAGE
0x7003	156	16	INPUT_STRING_LOVE
0x7004	157	2	PAUSE_ALLOW
0x7005	158	2	PAUSE_DENY
0x7006	159	4	CHAT_ALLOW
0x7007	160	4	CHAT_DENY
0x8000	161	8	SYSTEM_DATA_REFER
0x8080	162	8	SCHOOL_DATA_REFER
0x8100	163	8	PLAYER_DATA_REFER
0x8101	164	8	PLAYER_DATA_UPDATE
0x8180	165	8	PC_DATA_REFER
0x8181	166	8	PC_DATA_UPDATE
0x8182	167	8	PC_ITEM_REFER
0x8183	168	8	PC_ITEM_UPDATE
0x8184	169	8	PC_KEYWORD_REFER
0x8185	170	8	PC_KEYWORD_UPDATE
0x8200	171	4	DECL_PC_EVENT_VARIABLE
0x8201	172	6	PC_EVENT_VARIABLE_REFER
0x8202	173	6	PC_EVENT_VARIABLE_UPDATE
0x8203	174	8	PC_EVENT_VARIABLE32_REFER
0x8204	175	8	PC_EVENT_VARIABLE32_UPDATE
0x9000	176	4	DECL_VARIABLE
0x9001	177	8	OP_STR
0x9002	178	6	OP_ADD
0x9003	179	6	OP_SUB
0x9004	180	6	OP_MUL
0x9005	181	6	OP_DIV
0x9006	182	6	OP_MOD
0x9007	183	6	OP_OR
0x9008	184	6	OP_AND
0x9009	185	6	OP_EQ
0x900a	186	6	OP_NE
0x900b	187	6	OP_GT
0x900c	188	6	OP_GE
0x900d	189	6	OP_LT
0x900e	190	6	OP_LE
0x900f	191	6	OP_NOT
0x9010	192	6	OP_RAND
0x903f	193	8	SYNC_VARIABLE
0x9080	194	8	OP_JP
0x9081	195	8	OP_BR
0x9082	196	8	OP_BA
0x9083	197	4	OP_RTN
0x9084	198	4	OP_END
0x9085	199	4	OP_JS
0x90c0	200	4	OP_BA_END
0x9100	201	4	PLAYER_SYNC
0x9101	202	4	PLAYER_WAIT_TIME
0x9103	203	4	PLAYER_WAIT_TIME_LOCAL
0x9180	204	4	EVENT_CALL
0x9200	205	16	RESULT_MULTI_PLAYER_EVENT
0x9201	206	6	TRAINING_MODE
0x9202	207	4	NPC_INFO_REFER
0x9203	208	8	MINIGAME_EXECUTE
